scenario,year,District,avg_inverse_distance
baseline,1924,WOLSZTYŃSKI,0.00465136524050766
baseline,1924,WOŁKOWYSKI,0.004323988899160104
baseline,1924,WOŁOŻYŃSKI,0.0030024722388588385
baseline,1924,WRZESIŃSKI,0.005753510774220174
baseline,1924,WYRZYSKI,0.004992269959657262
baseline,1924,WYSOKOMAZOWIECKI,0.004692369813318748
baseline,1924,WĄBRZESKI,0.005251954646821422
baseline,1924,WĄGROWIECKI,0.00540567473139178
baseline,1924,WĘGROWSKI,0.005123781404860327
baseline,1924,WŁOCŁAWSKI,0.005528980771566605
baseline,1924,WŁODAWSKI,0.004811475889214075
baseline,1924,WŁODZIMIERSKI,0.005050472678696493
baseline,1924,WŁOSZCZOWSKI,0.0049110106038007546
baseline,1924,ZALESZCZYCKI,0.0039376495258709
baseline,1924,ZAMOJSKI,0.0055504285964721265
baseline,1924,ZBARASKI,0.004365356433854312
baseline,1924,ZBOROWSKI,0.004692667953688796
baseline,1924,ZDOŁBUNOWSKI,0.00391584148121049
baseline,1924,ZŁOCZOWSKI,0.005139647608063529
baseline,1924,ŁASKI,0.005462549792354581
baseline,1924,ŁAŃCUCKI,0.005761179069595813
baseline,1924,ŁOMŻYŃSKI,0.004375243363112551
baseline,1924,ŁOWICKI,0.006445789783713339
baseline,1924,ŁUCKI,0.004151960693977624
baseline,1924,ŁUKOWSKI,0.005673404964962771
baseline,1924,ŁUNINIECKI,0.003577666393808835
baseline,1924,ŁÓDZKI,0.006317951777381817
baseline,1924,ŁÓDŹ (MIASTO),0.006185551968623893
baseline,1924,ŁĘCZYCKI,0.005883876754106828
baseline,1924,ŚNIATYŃSKI,0.0037789479517077837
baseline,1924,ŚREDZKI,0.005250663604717718
baseline,1924,ŚREMSKI,0.004694868244160224
baseline,1924,ŚWIECKI,0.005138552892880741
baseline,1924,ŚWIĘCIAŃSKI,0.0028466452111209563
baseline,1924,ŚWIĘTOCHŁOWICKI,0.007176569292617851
baseline,1924,ŻNIŃSKI,0.005459266545598764
baseline,1924,ŻYDACZOWSKI,0.005334194579540037
baseline,1924,ŻYWIECKI,0.005146919433044001
baseline,1924,ŻÓŁKIEWSKI,0.005781911125811215
baseline,1938,AUGUSTOWSKI,0.0035869979555534426
baseline,1938,BARANOWICKI,0.0040193928393685765
baseline,1938,BIALSKI (BIAŁA KRAKOWSKA),0.005757823424894984
baseline,1938,BIALSKI (BIAŁA PODLASKA),0.0052814667024042
baseline,1938,BIAŁOSTOCKI,0.004943643732515851
baseline,1938,BIELSKI (BIELSK PODLASKI),0.004797534557857531
baseline,1938,BIELSKO,0.0056507646382986795
