District,weighted_distance_to_center_km_1924,weighted_distance_to_center_km_1929,weighted_distance_to_center_km_1931,weighted_distance_to_center_km_1938,weighted_distance_to_center_miles_1924,weighted_distance_to_center_miles_1929,weighted_distance_to_center_miles_1931,weighted_distance_to_center_miles_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924
KRAKOWSKI,335.38475545169166,335.3726236118176,335.3685723825563,273.53714959425685,208.3983608797731,208.3908225062987,208.3883051899214,169.96805218053296,0.8155920778982954,-0.18440792210170465,0.8155920778982954,-0.18440792210170465
KRAKÓW (MIASTO),335.0634532040791,335.06345338369454,335.06345344700475,273.01136146778083,208.19871298087185,208.19871309247966,208.19871313181878,169.64134268659643,0.8148049536799113,-0.18519504632008862,0.8148049536799113,-0.1851950463200887
KRASNOSTAWSKI,169.97268988832013,169.963028559159,169.95950840718885,169.9444953212661,105.61610028859538,105.61009701883319,105.60790969848334,105.59858100227044,0.9998341229577965,-0.00016587704220347928,0.9998341229577965,-0.0001658770422035027
KROTOSZYŃSKI,421.3303500564404,420.98582606871076,420.84749870140445,420.49001119094595,261.8024609449204,261.5883837301409,261.5024311155904,261.2802987437293,0.9980055107224488,-0.0019944892775511885,0.9980055107224489,-0.0019944892775510532
KROŚNIEŃSKI,347.28730312684206,347.27080858631933,347.264669411642,347.1324710984236,215.79425883122897,215.78400960208984,215.78019489698138,215.69805069889856,0.9995541673219135,-0.0004458326780864718,0.9995541673219135,-0.0004458326780864973
KRZEMIENIECKI,466.718544772084,466.6737323235584,466.657570937256,466.6418935927872,290.0053688835746,289.9775237276218,289.9674815108537,289.95774006364377,0.9998357657304271,-0.0001642342695729406,0.9998357657304271,-0.00016423426957292816
KUTNOWSKI,249.89198162628503,249.90188476989482,249.90562525367773,247.3101972657053,155.27563051510637,155.2817840413543,155.28410826950298,153.67138458518858,0.9896683985465337,-0.01033160145346637,0.9896683985465335,-0.010331601453466465
KĘPIŃSKI,422.59313407052423,422.5759215915664,422.5691454660502,423.6948286759365,262.5871183105357,262.5764229752732,262.57221248738506,263.27167938919536,1.0026069865234213,0.002606986523421384,1.0026069865234215,0.0026069865234215604
LESKI,414.6004811237719,414.7654159131776,414.82352599835144,415.1355487083952,257.62071555635924,257.7232012513871,257.75930917312166,257.95319103648427,1.0012905618999115,0.0012905618999115417,1.0012905618999117,0.0012905618999116994
LESZCZYŃSKI,468.587741394616,468.5681896891525,468.56059912623795,468.500487788095,291.16683345811396,291.1546845953384,291.1499680396696,291.11261659737636,0.9998137945174124,-0.0001862054825875979,0.9998137945174123,-0.00018620548258768774
LIDZKI,361.7883450414002,361.70924714161504,361.6818823591793,361.5281658530557,224.8047857467199,224.75563660563247,224.73863292340562,224.64311794427908,0.9992808524876203,-0.00071914751237963,0.9992808524876203,-0.0007191475123796916
