scenario,year,District,unit_weighted_domestic_access
baseline,1924,ŻYWIECKI,0.0007834764946445591
baseline,1924,ŻÓŁKIEWSKI,0.0009730758326949688
baseline,1938,AUGUSTOWSKI,0.00022014673106630792
baseline,1938,BARANOWICKI,0.00032881981988245614
baseline,1938,BIALSKI (BIAŁA KRAKOWSKA),0.0012465096418054053
baseline,1938,BIALSKI (BIAŁA PODLASKA),0.0003956604823030874
baseline,1938,BIAŁOSTOCKI,0.0004548205745464412
baseline,1938,BIELSKI (BIELSK PODLASKI),0.00029519368281415094
baseline,1938,BIELSKO,0.0012623774738907678
baseline,1938,BIŁGORAJSKI,0.0003541082985527106
baseline,1938,BOCHEŃSKI,0.0010210772283383504
baseline,1938,BORSZCZOWSKI,0.00018846670876934273
baseline,1938,BRASŁAWSKI,5.066840054644925e-05
baseline,1938,BRODNICKI,0.000937741709793248
baseline,1938,BRODZKI,0.00034031054110469715
baseline,1938,BRZESKI (BRZESKO),0.0012625797261211933
baseline,1938,BRZESKI (BRZEŚĆ N.BUG.),0.00042663596363420967
baseline,1938,BRZEZIŃSKI,0.0010834294525027433
baseline,1938,BRZEŻAŃSKI,0.0010787131064860938
baseline,1938,BRZOZOWSKI,0.0004323103665759832
baseline,1938,BUCZACKI,0.0007265617323216841
baseline,1938,BYDGOSKI,0.0010311863806635197
baseline,1938,BÓBRECKI,0.0007596431983643837
baseline,1938,BĘDZIŃSKI,0.0009935631216456192
baseline,1938,BŁOŃSKI,0.0011387684065397303
baseline,1938,CHEŁMIŃSKI,0.0007016385021314307
baseline,1938,CHEŁMSKI,0.0005291365290673624
baseline,1938,CHODZIESKI,0.0006312158039172137
baseline,1938,CHOJNICKI,0.0005990584903954033
baseline,1938,CHORZÓW,0.018147561640332176
baseline,1938,CHRZANOWSKI,0.0011384264320080024
baseline,1938,CIECHANOWSKI,0.000561951747000625
baseline,1938,CIESZYŃSKI,0.0007622195371225038
baseline,1938,CZARNKOWSKI,0.0003957186179269463
baseline,1938,CZORTKOWSKI,0.0011726349229391438
baseline,1938,CZĘSTOCHOWSKI,0.000443511051700937
baseline,1938,DOBROMILSKI,0.0005342877186320783
baseline,1938,DOLIŃSKI,0.0004977041797984671
baseline,1938,DROHICKI,0.00020190642384685262
baseline,1938,DROHOBYCKI,0.0008238372155483748
baseline,1938,DUBIEŃSKI,0.0002730213711270896
baseline,1938,DZIAŁDOWSKI,0.00041732290108994574
baseline,1938,DZIŚNIEŃSKI,0.00010516087318512254
baseline,1938,DĄBROWSKI,0.0010794570104170108
baseline,1938,GARWOLIŃSKI,0.0005017340834818574
baseline,1938,GNIEŹNIEŃSKI,0.0012892394326875498
baseline,1938,GORLICKI,0.0007904232726956303
baseline,1938,GOSTYNIŃSKI,0.0008460219971461218
baseline,1938,GOSTYŃSKI,0.0011751674790826336
baseline,1938,GRODZIEŃSKI,0.00023063501863841961
baseline,1938,GRUDZIĄDZKI,0.0009631538546518921
baseline,1938,GRÓDECKI,0.001269094260097707
baseline,1938,GRÓJECKI,0.0005564776135987643
baseline,1938,HOROCHOWSKI,0.00022831778569190684
baseline,1938,HORODEŃSKI,0.0004646434579729217
baseline,1938,HRUBIESZOWSKI,0.0004492611863813903
baseline,1938,INOWROCŁAWSKI,0.0010050620548952515
baseline,1938,IWACEWICKI,0.00018196692236131188
baseline,1938,IŁŻECKI,0.0004974486478240981
baseline,1938,JANOWSKI,0.0004151182486857524
baseline,1938,JAROCIŃSKI,0.00096442187033685
baseline,1938,JAROSŁAWSKI,0.0009065284739568638
baseline,1938,JASIELSKI,0.0010077769069550585
baseline,1938,JAWOROWSKI,0.0006028538109818702
baseline,1938,JĘDRZEJOWSKI,0.0006810418729004051
baseline,1938,KALISKI,0.00035433086063264764
baseline,1938,KAMIONECKI,0.0007313787751571888
baseline,1938,KARTUSKI,0.0003864118903773423
baseline,1938,KATOWICE,0.004822706609333018
baseline,1938,KAŁUSKI,0.00043658798712404017
baseline,1938,KIELECKI,0.0006303998181222396
baseline,1938,KOBRYŃSKI,0.0002715119728300797
baseline,1938,KOLBUSZOWSKI,0.0003729516679312571
baseline,1938,KOLSKI,0.0007769238008941972
baseline,1938,KONECKI,0.0006279187583116926
baseline,1938,KONIŃSKI,0.00044287916773999233
baseline,1938,KOPYCZYNIECKI,0.0010451832630466288
baseline,1938,KOSOWSKI (KOSÓW HUCULSKI),0.00021746743698660364
baseline,1938,KOSTOPOLSKI,0.00021179988261444085
baseline,1938,KOSZYRSKI,7.06191395801195e-05
baseline,1938,KOWELSKI,0.0002886208307947594
baseline,1938,KOZIENICKI,0.0003810742580248419
baseline,1938,KOŁOMYJSKI,0.0006608671140877417
baseline,1938,KOŚCIAŃSKI,0.0013874006491286564
baseline,1938,KOŚCIERSKI,0.00044426527671539957
baseline,1938,KRAKOWSKI,0.013079879604767803
baseline,1938,KRAKÓW (MIASTO),0.013084595657549032
baseline,1938,KRASNOSTAWSKI,0.0005071569574128188
baseline,1938,KROTOSZYŃSKI,0.0008755782033674026
baseline,1938,KROŚNIEŃSKI,0.0008289065634831667
baseline,1938,KRZEMIENIECKI,0.0001921958584672636
baseline,1938,KUTNOWSKI,0.0014222370941688728
baseline,1938,KĘPIŃSKI,0.0003891050614627683
baseline,1938,LESKI,0.0002237785445995131
baseline,1938,LESZCZYŃSKI,0.0011826671060738792
baseline,1938,LIDZKI,0.0001929915154938179
baseline,1938,LIMANOWSKI,0.0005554838601609137
baseline,1938,LIPNOWSKI,0.0005073163682378707
baseline,1938,LUBACZOWSKI,0.00028605564083650833
baseline,1938,LUBARTOWSKI,0.0006694197209799664
baseline,1938,LUBAWSKI,0.00031779513953005835
baseline,1938,LUBELSKI,0.0008021354742025032
baseline,1938,LUBLINIECKI,0.0007869871216230225
baseline,1938,LUBOMELSKI,0.0002916060572443847
baseline,1938,LWOWSKI,0.014679167771814237
baseline,1938,LWÓW (MIASTO),0.015236016709866965
baseline,1938,M. ST. WARSZAWA,0.007650344504387761
baseline,1938,MAKOWSKI (MAKÓW MAZOWIECKI),0.00021234199001219202
baseline,1938,MIECHOWSKI,0.0005575422631627162
baseline,1938,MIELECKI,0.0008018743638299698
baseline,1938,MIĘDZYCHODZKI,0.0003993877974956159
baseline,1938,MIŃSKI,0.0009249688400802186
baseline,1938,MOGILEŃSKI,0.0008328259549717416
baseline,1938,MORSKI,0.00019385732035740109
baseline,1938,MOŁODECZAŃSKI,0.0002509434404100856
baseline,1938,MOŚCISKI,0.000603747526292076
baseline,1938,MYŚLENICKI,0.0004771799826811863
baseline,1938,MŁAWSKI,0.0005056159412398744
baseline,1938,NADWÓRNIAŃSKI,0.00047156153724622207
baseline,1938,NIESZAWSKI,0.0006366491954839694
baseline,1938,NIEŚWIESKI,0.00019085422783090758
baseline,1938,NIŻAŃSKI,0.0006587563268618694
baseline,1938,NOWOGRÓDZKI,0.00020556022295116456
baseline,1938,NOWOSĄDECKI,0.000677477312689027
baseline,1938,NOWOTARSKI,0.00047333464098592347
baseline,1938,NOWOTOMYSKI,0.0005386119914222459
baseline,1938,OBORNICKI,0.001258281031614762
baseline,1938,OLKUSKI,0.0005203187450986809
baseline,1938,OPATOWSKI,0.0005170265048143167
baseline,1938,OPOCZYŃSKI,0.0006948367128991969
baseline,1938,OSTROWSKI (OSTRÓW MAZOWIECKA),0.0004523105090805521
baseline,1938,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0007075519126687373
baseline,1938,OSTROŁĘCKI,0.0003605831652058866
baseline,1938,OSZMIAŃSKI,8.265277113043336e-05
baseline,1938,PIOTRKOWSKI,0.0005225973474265889
baseline,1938,PIŃCZOWSKI,0.0003889293769379565
baseline,1938,PIŃSKI,0.00015334496504444418
baseline,1938,PODHAJECKI,0.0008701931419139943
baseline,1938,POSTAWSKI,0.00012289133181944592
baseline,1938,POZNAŃ (MIASTO),0.01975505944792119
baseline,1938,POZNAŃSKI,0.019512288245585884
baseline,1938,PRUŻAŃSKI,0.00019027527784292952
baseline,1938,PRZASNYCKI,0.00016344802021026167
baseline,1938,PRZEMYSKI,0.0009827081960921155
baseline,1938,PRZEMYŚLAŃSKI,0.0006257925664263574
baseline,1938,PRZEWORSKI,0.0009569969261629258
baseline,1938,PSZCZYŃSKI,0.0015202479384724913
baseline,1938,PUŁAWSKI,0.0003574271734632872
baseline,1938,PUŁTUSKI,0.000403954776844521
baseline,1938,PŁOCKI,0.0006249531638640632
baseline,1938,PŁOŃSKI,0.0004699491656686247
baseline,1938,RADOMSKI,0.0004886134434347696
baseline,1938,RADOMSZCZAŃSKI,0.000472223199469297
baseline,1938,RADZIECHOWSKI,0.0003158604362784262
baseline,1938,RADZYMIŃSKI,0.0011362412074980423
baseline,1938,RADZYŃSKI,0.000497302836024632
baseline,1938,RAWICKI,0.0010038649908831298
baseline,1938,RAWSKI (RAWA MAZOWIECKA),0.0004702574442004776
baseline,1938,RAWSKI (RAWA RUSKA),0.0005190861595440067
baseline,1938,ROHATYŃSKI,0.0007649101049933053
baseline,1938,ROPCZYCKI,0.0010295118333250451
baseline,1938,RUDECKI,0.000639962245258962
baseline,1938,RYBNICKI,0.0007071010775730184
baseline,1938,RYPIŃSKI,0.0008033563323299056
baseline,1938,RZESZOWSKI,0.0006839777149279963
baseline,1938,RÓWIEŃSKI,0.0002670618163000044
baseline,1938,SAMBORSKI,0.0009230921380055503
baseline,1938,SANDOMIERSKI,0.000255367358449476
baseline,1938,SANOCKI,0.0003545285254810125
baseline,1938,SARNEŃSKI,0.0001752681658586191
baseline,1938,SIEDLECKI,0.0006752361456439197
baseline,1938,SIERADZKI,0.0007326220283284666
baseline,1938,SIERPECKI,0.000583402015123648
baseline,1938,SKAŁACKI,0.0003241689715134795
baseline,1938,SKIERNIEWICKI,0.0012497557560592171
baseline,1938,SOCHACZEWSKI,0.0006121611777987891
baseline,1938,SOKALSKI,0.00044226493690888147
baseline,1938,SOKOŁOWSKI,0.0008516063857579344
baseline,1938,SOKÓLSKI,0.0003088185558040342
baseline,1938,STANISŁAWOWSKI,0.0008989216425591068
baseline,1938,STAROGARDZKI,0.00041945643930518854
baseline,1938,STOLIŃSKI,0.00013433283739022525
baseline,1938,STOPNICKI,0.0002490759634614167
baseline,1938,STOŁPECKI,0.00011030851288852129
baseline,1938,STRYJSKI,0.0005476039741122874
baseline,1938,SUWALSKI,0.00019108375463101305
baseline,1938,SZAMOTULSKI,0.0006421143134827664
baseline,1938,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.00014038401959563
baseline,1938,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.00017126858369403083
baseline,1938,SZUBIŃSKI,0.0012700227606034008
baseline,1938,SĘPOLEŃSKI,0.0007015898548679001
baseline,1938,SŁONIMSKI,0.00023139634974495086
baseline,1938,TARNOBRZESKI,0.0008569099696503811
baseline,1938,TARNOGÓRSKI,0.0025323873145413184
baseline,1938,TARNOPOLSKI,0.0010862645194450113
baseline,1938,TARNOWSKI,0.0019109652137813008
baseline,1938,TCZEWSKI,0.0002790753751715541
baseline,1938,TOMASZOWSKI,0.00026221867051652033
baseline,1938,TORUŃSKI,0.001087173587523177
baseline,1938,TREMBOWELSKI,0.0008749279790148788
baseline,1938,TUCHOLSKI,0.000709628233054818
baseline,1938,TURCZAŃSKI,0.0003617367367802704
baseline,1938,TURECKI,0.00017895096821583995
baseline,1938,TŁUMACKI,0.0007853118528464218
baseline,1938,WADOWICKI,0.0010205321686981618
baseline,1938,WARSZAWSKI,0.007430116825084325
baseline,1938,WIELUŃSKI,0.00025819434832783305
baseline,1938,WILEJSKI,0.000223401188711108
baseline,1938,WILEŃSKO-TROCKI,0.0012509673121622598
baseline,1938,WILNO (MIASTO),0.0012739212815316627
baseline,1938,WOLSZTYŃSKI,0.0007321908465458268
baseline,1938,WOŁKOWYSKI,0.00024364884724770188
baseline,1938,WOŁOŻYŃSKI,0.00010790265565071526
baseline,1938,WRZESIŃSKI,0.0010956555646851219
baseline,1938,WYRZYSKI,0.0007521502377554763
baseline,1938,WYSOKOMAZOWIECKI,0.00034173677228505246
baseline,1938,WĄBRZESKI,0.0008017555916276193
baseline,1938,WĄGROWIECKI,0.0011796575968160323
baseline,1938,WĘGROWSKI,0.0006884263264168563
baseline,1938,WŁOCŁAWSKI,0.0006445684637113781
baseline,1938,WŁODAWSKI,0.0002498772797080249
baseline,1938,WŁODZIMIERSKI,0.0004041698329482804
baseline,1938,WŁOSZCZOWSKI,0.0003077990804131952
