scenario,District,avg_distance_km_1924,avg_distance_km_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,avg_distance_miles_1924,avg_distance_miles_1938,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924,avg_distance_minutes_1924,avg_distance_minutes_1938,change_ratio_minutes_1938_vs_1924,proportional_change_minutes_1938_vs_1924
baseline,WARSZAWSKI,340.8105573747616,323.4157308252518,0.9489604233991433,-0.05103957660085663,211.76979684651297,200.96115607861753,0.9489604233991434,-0.051039576600856604,,,,
baseline,WIELUŃSKI,558.7824491486355,432.0531810011335,0.7732046374387966,-0.22679536256120336,347.2112092099368,268.46531713185533,0.7732046374387966,-0.2267953625612034,,,,
baseline,WILEJSKI,666.1983238116123,658.7843765078937,0.9888712609462897,-0.011128739053710255,413.9563186651454,409.34950681508644,0.9888712609462897,-0.011128739053710259,,,,
baseline,WILEŃSKO-TROCKI,608.256444973073,596.728093607643,0.9810468899085149,-0.018953110091485117,377.95291546936335,370.78953225307475,0.981046889908515,-0.018953110091485068,,,,
baseline,WILNO (MIASTO),593.1744472735418,583.4813508900884,0.9836589448045063,-0.016341055195493667,368.5813994768079,362.5583904839251,0.9836589448045063,-0.01634105519549364,,,,
baseline,WOLSZTYŃSKI,533.970943610959,510.0326437115698,0.9551692836739255,-0.04483071632607449,331.79405920248524,316.91949385570183,0.9551692836739254,-0.044830716326074584,,,,
baseline,WOŁKOWYSKI,448.03116062604704,440.83871934207815,0.9839465601590776,-0.016053439840922407,278.3935703093675,273.92439587630645,0.9839465601590777,-0.016053439840922386,,,,
baseline,WOŁOŻYŃSKI,627.9747043081414,620.873991127929,0.9886926764223163,-0.011307323577683765,390.20526999065413,385.79309274115235,0.9886926764223163,-0.01130732357768376,,,,
baseline,WRZESIŃSKI,458.20945572089556,431.70565573825354,0.9421578938371232,-0.057842106162876765,284.7180677107486,268.24937501173434,0.9421578938371232,-0.057842106162876716,,,,
baseline,WYRZYSKI,511.1934536730236,477.590960340621,0.9342665812894078,-0.06573341871059228,317.64078750226037,296.761172617812,0.9342665812894076,-0.06573341871059231,,,,
baseline,WYSOKOMAZOWIECKI,413.43168030956303,403.09113959900696,0.974988513935813,-0.025011486064187047,256.8944566256335,250.46914450377457,0.974988513935813,-0.025011486064186995,,,,
baseline,WĄBRZESKI,457.70573447174877,438.1838044738186,0.9573482949247709,-0.04265170507522912,284.405069934445,272.27470876970114,0.9573482949247708,-0.04265170507522917,,,,
baseline,WĄGROWIECKI,509.2100322140595,475.623747814872,0.9340423749053934,-0.0659576250946066,316.40834692688236,295.5388038034748,0.9340423749053933,-0.06595762509460663,,,,
baseline,WĘGROWSKI,382.2140243114498,375.1423249362155,0.9814980641069522,-0.018501935893047883,237.49671050042988,233.10256158794118,0.9814980641069522,-0.01850193589304787,,,,
baseline,WŁOCŁAWSKI,410.7870864208157,390.0109185636242,0.9494235127052946,-0.05057648729470548,255.25118267638868,242.34147447879775,0.9494235127052945,-0.05057648729470552,,,,
baseline,WŁODAWSKI,391.02766712929855,387.406267147063,0.9907387627867311,-0.009261237213268872,242.97325255179936,240.72301962343766,0.9907387627867311,-0.00926123721326886,,,,
baseline,WŁODZIMIERSKI,413.5844118115491,409.9233443378516,0.9911479558485736,-0.008852044151426345,256.9893595517541,254.71447839455516,0.9911479558485735,-0.00885204415142645,,,,
baseline,WŁOSZCZOWSKI,398.9935914043308,385.6359060327189,0.9665215540816154,-0.03347844591838458,247.92304688450042,239.62296856745658,0.9665215540816156,-0.033478445918384454,,,,
baseline,ZALESZCZYCKI,592.868462512674,585.3691628976452,0.9873508204783814,-0.012649179521618571,368.3912694199627,363.7314221188727,0.9873508204783814,-0.012649179521618547,,,,
baseline,ZAMOJSKI,371.29779132415274,366.96152779284864,0.988321332276608,-0.011678667723391939,230.71367989288012,228.01925148617016,0.988321332276608,-0.011678667723391946,,,,
baseline,ZBARASKI,523.8855716118097,516.280298080425,0.9854829490570126,-0.014517050942987338,325.5273015180018,320.8016050985318,0.9854829490570127,-0.014517050942987277,,,,
baseline,ZBOROWSKI,481.6630898960596,474.4077238396528,0.9849368444279746,-0.015063155572025366,299.29147583180446,294.7832017699689,0.9849368444279746,-0.015063155572025397,,,,
baseline,ZDOŁBUNOWSKI,512.105771002787,506.722244364171,0.9894874712540844,-0.010512528745915555,318.2076750337728,314.8625077028093,0.9894874712540845,-0.010512528745915508,,,,
