District,year,rural_pop,city_pop_sum,pop_total,MA_district
ŁÓDZKI,1913,40927.59999999998,28421.4,69348.99999999997,17081.32880709876
LESKI,1913,70900.79999999993,6476.0,77376.79999999993,10027.364841434503
GOSTYŃSKI,1913,45675.40000000002,13146.2,58821.60000000002,12410.234913100952
OBORNICKI,1913,37786.19999999995,11101.0,48887.19999999995,11057.715520442236
WŁOCŁAWSKI,1913,59549.40000000002,49128.0,108677.40000000002,12215.883358299301
KRAKÓW (MIASTO),1913,1.0,153662.8,153663.8,13945.419871860793
PRZEMYSKI,1913,88616.40000000002,46967.0,135583.40000000002,13983.420160115918
WILNO (MIASTO),1913,1.0,75010.8,75011.8,8664.746641248337
WYSOKOMAZOWIECKI,1913,55653.59999999998,13023.0,68676.59999999998,10531.308875361568
ZAMOJSKI,1913,98042.80000000005,14823.0,112865.80000000005,8061.328144265663
ŚNIATYŃSKI,1913,53108.0,15508.400000000001,68616.4,8970.850123190785
SAMBORSKI,1913,94443.0,22317.8,116760.8,14196.605974492326
MIŃSKI,1913,71258.59999999998,16208.0,87466.59999999998,14829.99830879094
KARTUSKI,1913,58341.40000000002,2646.6,60988.00000000002,8132.593522554228
BÓBRECKI,1913,68655.59999999998,5557.6,74213.19999999998,11224.367248684335
BIELSKI (BIELSK PODLASKI),1913,78300.59999999986,16707.4,95007.99999999985,10980.117294754202
STAROGARDZKI,1913,49642.19999999995,8154.0,57796.19999999995,9656.518896053429
SIEDLECKI,1913,86705.80000000005,31905.6,118611.40000000005,13172.47872914643
KRAKOWSKI,1913,100131.0,7740.6,107871.6,14330.773353404596
DZIAŁDOWSKI,1913,32049.20000000001,5099.4,37148.60000000001,10843.294005774927
CIECHANOWSKI,1913,49710.59999999998,10395.4,60105.99999999998,13053.070007582042
HOROCHOWSKI,1913,59046.59999999998,8253.2,67299.79999999997,9152.254066841566
KUTNOWSKI,1913,68731.59999999998,23792.199999999997,92523.79999999997,14611.629520124032
PIŃCZOWSKI,1913,98391.19999999995,17454.0,115845.19999999995,10696.353100963614
CHOJNICKI,1913,51627.19999999995,13186.599999999999,64813.79999999995,9306.938468228544
IWACEWICKI,1913,15392.599999999977,5105.4,20497.999999999978,8856.174372618992
ŻYWIECKI,1913,83361.19999999995,9604.2,92965.39999999995,13543.25956045148
TARNOGÓRSKI,1913,43352.433224487264,15355.0,58707.433224487264,16625.21753235708
LUBAWSKI,1913,43367.20000000001,7048.0,50415.20000000001,11015.692770207703
TURECKI,1913,85095.79999999993,17367.2,102462.99999999993,9728.665634694931
PRUŻAŃSKI,1913,28045.0,10185.8,38230.8,9805.684562780147
ŁOWICKI,1913,78897.40000000002,15521.4,94418.80000000002,16522.36427320094
RZESZOWSKI,1913,129957.59999999986,36417.600000000006,166375.19999999987,13172.387929608027
WARSZAWSKI,1913,37572.39999999991,28423.0,65995.3999999999,16966.386219916367
IŁŻECKI,1913,110928.59999999998,8041.0,118969.59999999998,11405.328435253272
BRZOZOWSKI,1913,71734.19999999995,4094.4,75828.59999999995,11177.201904736032
PIOTRKOWSKI,1913,133176.80000000005,44241.4,177418.20000000004,14159.54577431203
SĘPOLEŃSKI,1913,23345.399999999994,3519.4,26864.799999999996,10928.455968530974
POZNAŃSKI,1913,61976.40000000002,7771.200000000001,69747.60000000002,12765.045848728805
TARNOPOLSKI,1913,90222.80000000005,32222.399999999998,122445.20000000004,11305.391427901712
WILEŃSKO-TROCKI,1913,119475.09177704455,14046.400000000001,133521.49177704455,7795.90376544901
