District,MA_1913,MA_1939,delta,pct_change,log_change,from_year,to_year
HORODEŃSKI,8873.745122724167,18299.660596400416,9425.915473676248,1.0622251758773262,0.7237855822889099,1913,1939
HRUBIESZOWSKI,8066.759302339385,26634.74643615547,18567.987133816085,2.3017901536285224,1.1944647921848635,1913,1939
INOWROCŁAWSKI,11979.204720025413,26950.223501973498,14971.018781948085,1.2497506413694817,0.8108193840166589,1913,1939
IWACEWICKI,8856.174372618992,20972.844400996015,12116.670028377022,1.3681607338083404,0.8621135921710348,1913,1939
IŁŻECKI,11405.328435253272,26676.764354294806,15271.435919041534,1.3389737968297628,0.8497122848158032,1913,1939
JANOWSKI,9407.2385802082,28500.81133987808,19093.572759669878,2.0296681748712806,1.108453100280462,1913,1939
JAROCIŃSKI,12943.243999245904,27919.504404414176,14976.260405168272,1.1570716279505207,0.7687515740649999,1913,1939
JAROSŁAWSKI,13535.146391656182,29634.27255584124,16099.126164185056,1.1894312553656197,0.7836418093540392,1913,1939
JASIELSKI,13255.993830909289,27659.11342288017,14403.119591970883,1.0865363831406447,0.7355054583000982,1913,1939
JAWOROWSKI,12112.306366998844,25841.053103909115,13728.74673691027,1.133454382752039,0.7577424420027725,1913,1939
JĘDRZEJOWSKI,14895.435464642293,33040.881195261136,18145.44573061884,1.2181883351910852,0.7966907974924506,1913,1939
KALISKI,12289.485377854082,25983.563244024444,13694.077866170363,1.1142922136387732,0.7487201057283706,1913,1939
KAMIONECKI,12058.154748683177,26323.986428730583,14265.831680047406,1.1830858018806998,0.7807393813674128,1913,1939
KARTUSKI,8132.593522554228,18538.324647258378,10405.73112470415,1.2795095556965679,0.82396031267686,1913,1939
KATOWICE,17027.645996609426,34707.2578768751,17679.61188026567,1.03828866795716,0.7121105675361701,1913,1939
KAŁUSKI,9815.707353489923,20003.730879212493,10188.02352572257,1.0379306512332267,0.7119349063674143,1913,1939
KIELECKI,14439.675116885319,32357.359883220262,17917.684766334944,1.2408648131828492,0.8068618686720512,1913,1939
KOBRYŃSKI,10414.94383686852,24459.092582141828,14044.148745273307,1.348461303800557,0.8537603493640944,1913,1939
KOLBUSZOWSKI,10126.165562292153,24905.88516679917,14779.719604507016,1.4595573727871662,0.8999814039936549,1913,1939
KOLSKI,9508.591102154376,30585.953535658762,21077.362433504386,2.216665140719833,1.168345152295057,1913,1939
KONECKI,14372.402242687962,32649.218239894475,18276.81599720651,1.271660484349785,0.820511054987227,1913,1939
KONIŃSKI,9295.731834048773,26769.261753362785,17473.529919314013,1.8797368761554925,1.0576989275280422,1913,1939
KOPYCZYNIECKI,10270.923477479853,20793.63041470481,10522.706937224957,1.0245141987764939,0.7053297699386842,1913,1939
KOSOWSKI (KOSÓW HUCULSKI),7793.966157672477,16061.744338990527,8267.778181318052,1.0607921581978061,0.7230904516983205,1913,1939
KOSTOPOLSKI,9482.146994554358,19718.140849057847,10235.99385450349,1.0795017057193972,0.7321283004550718,1913,1939
KOSZYRSKI,7065.123712607892,18174.111055218833,11108.98734261094,1.572369825992809,0.9448275853049424,1913,1939
KOWELSKI,10382.817713450258,24165.766312611457,13782.948599161198,1.3274767004053523,0.8447847195519973,1913,1939
KOZIENICKI,12984.241702081144,30097.984266976564,17113.74256489542,1.3180394325340066,0.840721756219807,1913,1939
KOŁOMYJSKI,10342.333524273437,21876.543590823017,11534.21006654958,1.1152425165441442,0.7491694709574013,1913,1939
KOŚCIAŃSKI,11969.201690403834,25043.30953447746,13074.107844073626,1.092312435052008,0.7382698825906449,1913,1939
KOŚCIERSKI,8736.054578083653,19873.756543454547,11137.701965370894,1.2749121317662446,0.8219414282575581,1913,1939
