District,year,rural_pop,city_pop_sum,pop_total,dist_makoszowy_min,dist_zbaszyn_min,dist_gdansk_min
HOROCHOWSKI,1924,90025.9,10729.3,100755.2,2665.4519368862643,4164.727599698947,4210.17096198669
KUTNOWSKI,1924,71193.4,30789.299999999996,101982.69999999998,1563.791385778647,1306.277101490552,1368.4138587668367
PIŃCZOWSKI,1924,105602.8,16508.0,122110.8,779.6995506265876,2756.9791391001386,3045.05210818767
CHOJNICKI,1924,53641.29999999999,18579.9,72221.19999999998,2835.2986238313792,1457.0063410574485,746.8507971278517
IWACEWICKI,1924,52707.9,6411.1,59119.0,2817.9576609291667,3591.1348010274837,3389.1283258375292
ŻYWIECKI,1924,104757.3,11420.3,116177.6,518.1641552756158,2841.9870325921593,3130.0600016796902
TARNOGÓRSKI,1924,45221.557365078406,17082.0,62303.557365078406,218.34806896208312,2562.219245363276,2850.292214450807
LUBAWSKI,1924,43527.8,8846.5,52374.3,2581.306976720249,1582.595696325662,991.2157043969135
TURECKI,1924,85622.7,16394.8,102017.5,2122.8026640501666,1316.4494688986326,2139.0871820896164
PRUŻAŃSKI,1924,69603.0,13792.699999999999,83395.7,2482.42789893228,3255.605039030597,3053.598563840642
ŁOWICKI,1924,83954.09999999999,16799.6,100753.69999999998,1372.9075225707077,1521.2981523887627,1583.909162351271
RZESZOWSKI,1924,138738.9,39082.899999999994,177821.8,1258.0348731716008,3007.1630165326674,3294.873187494225
WARSZAWSKI,1924,176433.09999999998,48498.0,224931.09999999998,1707.1885549532208,1876.1775793577756,1679.1245449093274
IŁŻECKI,1924,133118.9,10752.5,143871.4,1401.9377170437992,2446.6830058763544,2734.7559749638854
BRZOZOWSKI,1924,76151.79999999999,4184.6,80336.4,1655.3043049371734,3179.068218129965,3454.8501129715323
PIOTRKOWSKI,1924,147079.69999999998,57702.1,204781.8,1019.4665350859686,1796.0723236295437,2084.145292717075
SĘPOLEŃSKI,1924,23930.6,4583.1,28513.699999999997,2549.3055159110486,1154.3291333010006,717.3406673350788
POZNAŃSKI,1924,73451.59999999999,9394.8,82846.4,2344.3320070555524,477.50940934880504,1359.0521414434634
TARNOPOLSKI,1924,98185.7,36344.1,134529.8,2559.1441401034767,4058.4198029161594,4103.863165203901
WILEŃSKO-TROCKI,1924,171905.61635012517,11326.099999999999,183231.71635012518,3641.925578580168,3909.6124556449868,3707.605980455032
KROTOSZYŃSKI,1924,49558.99999999999,26180.5,75739.5,2036.7225371242055,775.9477124864499,1569.3891978024283
GRODZIEŃSKI,1924,114077.6,51763.399999999994,165841.0,3032.5288696239113,3292.653306535918,3090.6468313459623
KOSOWSKI (KOSÓW HUCULSKI),1924,76211.0,10527.5,86738.5,3198.05449689228,4697.330159704962,4806.528819444957
TURCZAŃSKI,1924,92279.7,10082.7,102362.4,2033.4824058155657,3532.7580686282486,3807.8645594834393
PŁOCKI,1924,83035.59999999999,33631.9,116667.5,1885.165728503879,1646.3635522747895,1708.9745622372982
RADZYMIŃSKI,1924,66051.5,13976.2,80027.7,1860.0008535465138,2058.5131720609934,1851.0591066903758
WYRZYSKI,1924,47128.3,16705.300000000003,63833.600000000006,2456.193873684912,1051.3468743584478,949.7833962329821
DROHOBYCKI,1924,108071.09999999998,66039.4,174110.49999999997,1977.506847951636,3476.782510764319,3751.8890016195105
KONIŃSKI,1924,162891.19999999998,37081.1,199972.3,2001.676165451711,1031.6343987667597,1524.5399288253122
ŁASKI,1924,110114.6,46033.7,156148.3,1524.7295025255862,1365.3616146920633,2106.9452209067017
RYPIŃSKI,1924,70970.59999999999,7568.2,78538.79999999999,2477.5726726228495,2506.796650161956,1974.989521264523
KOSZYRSKI,1924,61288.8,12670.5,73959.3,3075.715204114258,3880.1536836552577,3678.1472084653033
WĘGROWSKI,1924,74325.0,8790.2,83115.2,2217.999825910799,2753.4466986316875,2551.440223441732
WOŁOŻYŃSKI,1924,93675.1,4531.7,98206.8,3925.0777416086294,4553.990611506441,4351.984136316487
GRÓJECKI,1924,103071.3,25576.4,128647.70000000001,1971.6032500017236,2119.993879819778,1974.6499678090277
PSZCZYŃSKI,1924,120542.61481505077,18177.3,138719.91481505075,263.42717323874797,2593.1454302838247,2881.218399371355
BRZEZIŃSKI,1924,83237.9,49559.3,132797.2,1198.4236438574176,1582.713390133361,1859.371233342782
ŁÓDŹ (MIASTO),1924,1.0,498021.9,498022.9,1195.9821500304536,1439.1244751196318,1878.7440696653687
STOŁPECKI,1924,81398.28285987781,3952.6,85350.88285987782,3539.811366651937,4175.034714552661,3973.028239362706
WĄBRZESKI,1924,29660.899999999998,18037.9,47698.8,2255.648583541661,1251.9934666039562,847.7740436409028
BRODNICKI,1924,44738.5,9102.699999999999,53841.2,2367.0208766816545,1364.311723816683,832.5045949192505
KOSTOPOLSKI,1924,123792.8,6652.799999999999,130445.6,3195.1133372472214,4297.727370355173,4095.720895165218
GRUDZIĄDZKI,1924,39558.9,42607.9,82166.8,2326.36244425129,1322.7073273135852,639.0138410518135
OSTROWSKI (OSTRÓW MAZOWIECKA),1924,73117.7,18178.5,91296.2,2210.992950488083,2466.4591381341465,2264.452662944191
NIESZAWSKI,1924,87853.4,18899.7,106753.09999999999,1896.9214623445616,1180.3896769392347,1119.4228554578146
SZUBIŃSKI,1924,36240.1,11064.7,47304.8,2368.2606091561615,951.8937539346005,875.800620224625
KONECKI,1924,120828.0,34863.8,155691.8,1142.851476582723,1931.818120240167,2219.891089327698
RAWICKI,1924,32455.4,17430.100000000002,49885.5,2091.619135595904,562.9538045101248,1705.982281733668
NOWOTOMYSKI,1924,60274.7,25999.300000000003,86274.0,2595.2836867686087,247.1544889797566,1662.7408317694133
BIALSKI (BIAŁA PODLASKA),1924,73895.51982686247,19984.0,93879.51982686247,1978.4508851330102,2751.6280252313245,2549.6215500413696
OLKUSKI,1924,124745.5,16140.5,140886.0,503.5917656688396,2632.373762797289,2920.4467318848197
KOZIENICKI,1924,114660.5,15251.5,129912.0,1483.9560222901628,2528.7013111227175,2339.5103734778595
SANOCKI,1924,89346.79999999999,16428.6,105775.4,1840.462556950269,3759.2948989348847,4034.9784900134937
WRZESIŃSKI,1924,34235.5,9568.2,43803.7,2172.614469607085,790.8052395804144,1294.7090893970947
BRODZKI,1924,72698.9,11327.2,84026.09999999999,2371.8039964305626,3871.079659243247,3916.5230215309875
CHEŁMSKI,1924,108713.2,25021.3,133734.5,2041.621004824211,2997.2745098839114,2795.268034693956
DROHICKI,1924,71038.29999999999,2231.8,73270.09999999999,2734.1486036860747,3507.3257437843913,3305.3192685944364
OSTROWSKI (OSTRÓW WIELKOPOLSKI),1924,78904.8,22839.100000000002,101743.90000000001,1846.37335593632,847.3771136158803,1688.893308604717
TOMASZOWSKI,1924,96259.1,8477.2,104736.3,2527.1743612275072,3489.8836411690613,3287.877165979107
KĘPIŃSKI,1924,78616.29999999999,13708.4,92324.69999999998,2031.596820527738,1032.6005782072984,1874.1167731961357
BOCHEŃSKI,1924,94351.1,19683.6,114034.70000000001,669.0043665512726,2830.740411197946,3118.8133802854763
GNIEŹNIEŃSKI,1924,54775.8,32903.8,87679.6,2307.155869721774,775.3911215167772,1183.1383938564318
LUBLINIECKI,1924,29632.82100292075,8972.800000000001,38605.62100292075,462.61559206135854,2793.7990991391507,3081.872068226681
ZŁOCZOWSKI,1924,92609.2,18609.2,111218.4,2340.321951095758,3839.5976139084414,3885.0409761961832
BRASŁAWSKI,1924,127701.09999999998,2072.4,129773.49999999997,4377.3525222865555,4632.818709932618,4430.812234742663
ŁUKOWSKI,1924,99567.5,20204.1,119771.6,1814.2894467731037,2593.6684455662044,2391.661970376249
SŁONIMSKI,1924,81764.0,11635.3,93399.3,2975.069578366931,3473.5380989101086,3271.5316237201537
PRZASNYCKI,1924,50775.5,9509.9,60285.4,2581.6610613666726,2699.732246854195,2460.5833033670806
ŻNIŃSKI,1924,33564.4,9487.0,43051.4,2393.2883429368035,853.4287743904698,982.4416447054282
TARNOBRZESKI,1924,64038.7,7994.8,72033.5,1341.802581097744,2481.0134816693244,2768.567438815365
AUGUSTOWSKI,1924,56316.59999999999,9777.5,66094.09999999999,3275.9258621785975,3531.3920498246607,3329.3855746347067
HRUBIESZOWSKI,1924,97007.6,14646.5,111654.1,2393.6286340407537,3349.282139100454,3147.275663910499
PUŁTUSKI,1924,75651.9,34394.9,110046.79999999999,2236.3853079367623,2205.1248594181875,1710.3001286253218
SOCHACZEWSKI,1924,59460.4,7058.1,66518.5,1588.5214779687767,1736.9121077868322,1799.5231177493406
NOWOGRÓDZKI,1924,112158.01714012216,10606.8,122764.81714012216,3282.68514260907,3917.9084905097934,3715.902015319839
TUCHOLSKI,1924,34971.2,5551.2,40522.399999999994,2634.4288779451103,1326.1281703440757,726.0560240521287
POSTAWSKI,1924,88704.81666666665,1611.6,90316.41666666666,4347.888159637722,4603.354347283785,4401.347872093832
INOWROCŁAWSKI,1924,47920.0,29745.4,77665.4,2299.813889884313,987.1881442800368,1017.558155575243
BIAŁOSTOCKI,1924,96565.4,104185.3,200750.7,2546.744588542421,2802.210776188484,2600.2043009985287
DĄBROWSKI,1924,56814.2,7791.1,64605.299999999996,977.6246416954326,2976.909156861453,3264.9821259489845
ROHATYŃSKI,1924,100683.3,13358.3,114041.6,2535.684506749163,4034.960169561846,4080.4035318495876
ŚWIĘCIAŃSKI,1924,116451.56666666664,9724.1,126175.66666666664,3985.2137183549617,4240.679906001025,4038.673430811071
ŚREMSKI,1924,42820.2,15214.5,58034.7,2461.276709747592,599.3326390594661,1617.7359453927081
SKAŁACKI,1924,70396.1,13613.7,84009.8,2787.974216007365,4287.249878820048,4332.69324110779
ŁUNINIECKI,1924,81160.7,8401.4,89562.09999999999,3321.5045423808133,4094.6816824791294,3892.6752072891745
MAKOWSKI (MAKÓW MAZOWIECKI),1924,50436.8,9912.0,60348.8,2684.349230323606,2085.032731222617,1553.2256023251834
