scenario,District,log_change_ma_total,log_change_ma_domestic,log_change_ma_foreign
baseline,JAWOROWSKI,0.5318638990233104,0.46150853629329447,0.5318785959546979
baseline,JĘDRZEJOWSKI,0.5410605546738267,0.3926561113415534,0.5410874326753934
baseline,KALISKI,0.5757759696103442,0.06636054777774092,0.575926287814184
baseline,KAMIONECKI,0.5322346704243195,0.5691500716900944,0.5322269453256077
baseline,KARTUSKI,0.5543587389992801,0.7440340429648487,0.5543357979545931
baseline,KATOWICE,0.6024016354269968,0.1597274116314047,0.6077761532167507
baseline,KAŁUSKI,0.5314821772435501,0.5100635762080703,0.5314856659810729
baseline,KIELECKI,0.530361949288487,0.6565617901910219,0.5303350078022682
baseline,KOBRYŃSKI,0.531546868629313,0.49867649870533626,0.5315491692512886
baseline,KOLBUSZOWSKI,0.5250676036524489,0.38497326842279556,0.5250918516298739
baseline,KOLSKI,0.5752247413933027,0.06391321743518041,0.5753502606481469
baseline,KONECKI,0.5302540753610714,0.6584789042950536,0.5302273923411533
baseline,KONIŃSKI,0.570020852659642,0.009698654661709938,0.5701081084847424
baseline,KOPYCZYNIECKI,0.5311404452535804,0.5445935330120619,0.5311370512395825
baseline,KOSOWSKI (KOSÓW HUCULSKI),0.5320678948892059,0.4520942806423438,0.5320748921787342
baseline,KOSTOPOLSKI,0.5296298927061365,1.0067798870716835,0.5295895756296112
baseline,KOSZYRSKI,0.5314927249842043,0.8506414317243873,0.5314785384152252
baseline,KOWELSKI,0.529271582775614,0.7006527751325784,0.5292618358688976
baseline,KOZIENICKI,0.5293080608129621,0.5995358441811405,0.5292978293271844
baseline,KOŁOMYJSKI,0.5317099137775045,0.3742114624834869,0.5317466526665093
baseline,KOŚCIAŃSKI,0.5665919285293732,0.40156651495541773,0.5666338975128724
baseline,KOŚCIERSKI,0.5569631370390162,0.7207114760220374,0.5569404635135875
baseline,KRAKOWSKI,0.5902154452407977,0.33163618023686325,0.5911046927238388
baseline,KRAKÓW (MIASTO),0.5743072398762266,0.3340839944745504,0.5911084509573428
baseline,KRASNOSTAWSKI,0.5293257949192025,0.46315373058874876,0.5293411400483272
baseline,KROTOSZYŃSKI,0.5804537174889965,0.07565476647557112,0.5805856716283344
baseline,KROŚNIEŃSKI,0.5658751252017176,0.7311564826080694,0.5658111866763953
baseline,KRZEMIENIECKI,0.5316612240855036,0.5869253300133597,0.5316547334406572
baseline,KUTNOWSKI,0.5409789232980593,0.16293899563381586,0.5411933506708628
baseline,KĘPIŃSKI,0.621569480207885,0.5003291405076613,0.6215891842419907
baseline,LESKI,0.5567691616863613,0.6372136534009591,0.5567586023550817
baseline,LESZCZYŃSKI,0.5677744200481385,0.26706138108702326,0.5678581608541222
baseline,LIDZKI,0.5312875253853093,0.7039486769130967,0.5312746046672459
baseline,LIMANOWSKI,0.587652105751026,0.4328148345110421,0.5876787838704267
baseline,LIPNOWSKI,0.762244968109524,0.3022848002054701,0.7623253273429675
baseline,LUBACZOWSKI,0.5293921781941648,0.4023664653219665,0.5294143614818303
baseline,LUBARTOWSKI,0.530810032702334,0.4895865053446542,0.5308189372175356
baseline,LUBAWSKI,0.5480760833745215,0.6898047717183431,0.5480471490189096
baseline,LUBELSKI,0.5292151856677982,0.3693155831602368,0.5292813174256317
baseline,LUBLINIECKI,0.6781886784634636,0.7597191808150559,0.6781652278903536
baseline,LUBOMELSKI,0.5294854676565244,0.48855160425712185,0.5294884600358678
baseline,LWOWSKI,0.5311236149875356,0.3071812577727382,0.5319544513712167
baseline,LWÓW (MIASTO),0.52364772595514,0.3304091139337544,0.5320302402674528
baseline,M. ST. WARSZAWA,0.5340050428979062,0.4744906798946822,0.5411661037538309
baseline,MAKOWSKI (MAKÓW MAZOWIECKI),0.5444669425449078,0.5011424351508236,0.5444733926673813
baseline,MIECHOWSKI,0.5723215029579158,0.4395700417451991,0.5723475197599868
baseline,MIELECKI,0.5301757650622498,0.5427701818094395,0.5301735267363483
baseline,MIĘDZYCHODZKI,0.5587257862928183,0.37765725682742435,0.5587524745661803
baseline,MIŃSKI,0.5330629546403749,0.6985806455512265,0.5329896504213956
baseline,MOGILEŃSKI,0.5676449829320518,0.16437591405307472,0.5677241358643492
baseline,MORSKI,0.5751430795758985,0.9624852041531771,0.5750258667764712
baseline,MOŁODECZAŃSKI,0.5317658638928471,0.37851382965348357,0.5317850980454182
baseline,MOŚCISKI,0.5320491922871149,0.45723350871398694,0.5320669115378536
baseline,MYŚLENICKI,0.5888973065200638,0.3803037310869062,0.588940995360435
baseline,MŁAWSKI,0.5366525273565728,0.31282484855294435,0.5366952342138411
baseline,NADWÓRNIAŃSKI,0.5316791266746961,0.5511444034635282,0.5316764690508364
baseline,NIESZAWSKI,0.5625507989408511,0.2442634335266014,0.5626201657723335
baseline,NIEŚWIESKI,0.5312280922057262,0.45250417811058163,0.5312394688193969
baseline,NIŻAŃSKI,0.5333630386976616,0.5208842790821819,0.5333651659158356
baseline,NOWOGRÓDZKI,0.5309789880180453,0.4572802304653951,0.5309859129344048
baseline,NOWOSĄDECKI,0.5857289420548177,0.3977979382112178,0.5857678761995722
baseline,NOWOTARSKI,0.5884663563649042,0.6012474620474038,0.5884642051089806
baseline,NOWOTOMYSKI,0.5547887829444775,0.03396984495548416,0.554898062512585
baseline,OBORNICKI,0.5671455383089743,0.49389585039190464,0.5671588519878377
baseline,OLKUSKI,0.5897844212742243,0.5563339898433401,0.5897924793715781
baseline,OPATOWSKI,0.5309594265628235,0.550240180956143,0.5309547422551653
baseline,OPOCZYŃSKI,0.5301760973606449,0.6213476608148678,0.5301602961863381
baseline,OSTROWSKI (OSTRÓW MAZOWIECKA),0.5374505310137323,0.5643051194232562,0.5374466813004091
baseline,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.5877998089127203,0.19961755772458112,0.5878830110287439
baseline,OSTROŁĘCKI,0.5401384367905884,0.3473130751510336,0.5401595138014308
baseline,OSZMIAŃSKI,0.530856015885167,0.4012011631905974,0.5308670326084162
baseline,PIOTRKOWSKI,0.5306819447324074,0.4283091139162849,0.5307070225249078
baseline,PIŃCZOWSKI,0.5048711132727135,0.4277586771996891,0.5048846069309754
baseline,PIŃSKI,0.5319136503623518,0.6172623179377705,0.5319083565341778
baseline,PODHAJECKI,0.5318201969463026,0.7391716261892327,0.5317850249337184
baseline,POSTAWSKI,0.5339445931512792,0.10225136072061147,0.5339738362439306
baseline,POZNAŃ (MIASTO),0.56349495569334,0.47699889452890787,0.5661660301486826
baseline,POZNAŃSKI,0.5632344689196387,0.2184677266345254,0.5635041646377879
baseline,PRUŻAŃSKI,0.5323205921436163,0.2749442850940156,0.5323433154112109
baseline,PRZASNYCKI,0.5389115164051681,0.4855763694917261,0.5389194251639395
baseline,PRZEMYSKI,0.5328365809310505,0.33098300953679605,0.5329143030960637
baseline,PRZEMYŚLAŃSKI,0.5318452158431946,0.5573385674240185,0.5318394006650173
baseline,PRZEWORSKI,0.5329726129828352,0.2853273667546219,0.5330957070660673
baseline,PSZCZYŃSKI,0.6031968625654578,0.2854600563597831,0.6034142367458415
baseline,PUŁAWSKI,0.5301078989929273,0.40300005245929427,0.5301333698198682
baseline,PUŁTUSKI,0.5585359492407349,0.4801749757808338,0.5585542546442355
baseline,PŁOCKI,0.5420097968656314,0.29097692977913603,0.5420874818327945
baseline,PŁOŃSKI,0.6086158647875273,0.42124297032781577,0.608658312771869
baseline,RADOMSKI,0.5311296658401723,0.8229989076927744,0.5310636547293051
baseline,RADOMSZCZAŃSKI,0.5308897070048744,0.4437810862470677,0.5309059814119799
baseline,RADZIECHOWSKI,0.531927386963833,0.518626474659623,0.5319295422547725
baseline,RADZYMIŃSKI,0.543068997048497,0.7263846046948395,0.5429656797599876
baseline,RADZYŃSKI,0.5322949292003152,0.5467179472237564,0.5322923080400344
baseline,RAWICKI,0.5745705817019839,0.2856776065243487,0.57467452253427
baseline,RAWSKI (RAWA MAZOWIECKA),0.5317247388467514,0.5336714298044001,0.5317243585503455
baseline,RAWSKI (RAWA RUSKA),0.5294591741641561,0.44313073150175697,0.5294736739698891
baseline,ROHATYŃSKI,0.5318209048137028,0.48832239667347466,0.5318299219871072
baseline,ROPCZYCKI,0.5483649660102863,0.3744229413074418,0.5483997525315374
baseline,RUDECKI,0.5325173475419973,0.41355309716072064,0.5325519838556154
baseline,RYBNICKI,0.6025860914730536,0.8023884518128774,0.6024324505022634
baseline,RYPIŃSKI,0.7273821279157531,0.3404322261422461,0.727468080604762
baseline,RZESZOWSKI,0.5473430470774723,0.20805341665341714,0.5474438033216238
baseline,RÓWIEŃSKI,0.5294476201660459,0.5063039495191717,0.5294514344817323
baseline,SAMBORSKI,0.5325332748207536,0.3130810251680707,0.5325932559119764
baseline,SANDOMIERSKI,0.5386362307178132,0.30644083432015634,0.538681560441205
baseline,SANOCKI,0.5595762763267089,0.4215051829297263,0.5596076099312768
baseline,SARNEŃSKI,0.529083325653108,0.8433006992154848,0.5290668050820244
baseline,SIEDLECKI,0.532532892788403,0.3593168281297654,0.5325672767654517
baseline,SIERADZKI,0.5401960174465472,0.24507839995539094,0.5402637965457835
baseline,SIERPECKI,0.7015090191180811,0.39292224983992874,0.7015770719205321
baseline,SKAŁACKI,0.5316798492609607,0.5164482169100779,0.5316833404706465
baseline,SKIERNIEWICKI,0.5297109211639324,0.5197465620099191,0.5297147411977576
baseline,SOCHACZEWSKI,0.5306658844101335,0.7500567012365025,0.5305887196455714
baseline,SOKALSKI,0.5293999695001723,0.3419828599248582,0.5294402195892332
baseline,SOKOŁOWSKI,0.5329221139447924,0.6490508848517997,0.532900498234703
baseline,SOKÓLSKI,0.5367593016259313,0.49791962181194016,0.5367630686607576
baseline,STANISŁAWOWSKI,0.531700229083576,0.24212559473634343,0.5317950047949331
baseline,STAROGARDZKI,0.5487189276931304,0.3338239856836438,0.5487746752004661
baseline,STOLIŃSKI,0.5316268548957908,0.9838735983487208,0.531608822099134
baseline,STOPNICKI,0.5387402356630382,0.5404039689437976,0.5387400182645088
baseline,STOŁPECKI,0.53112643676209,0.2515376223971799,0.5311537469465009
baseline,STRYJSKI,0.5323476576525259,0.3179849046277443,0.5323856668053324
baseline,SUWALSKI,0.5350821072830598,0.35428352966657606,0.5351036569475376
baseline,SZAMOTULSKI,0.5633416856403279,0.40698257581338915,0.5633710349354644
baseline,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.5359698289006047,0.39082009039625554,0.5359888551655878
baseline,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.5312416680271888,0.7182687835416424,0.5312275233754029
baseline,SZUBIŃSKI,0.5614261023223825,0.4989589244790711,0.5614378253825656
baseline,SĘPOLEŃSKI,0.556386140956306,0.6942351297315952,0.5563442814973243
baseline,SŁONIMSKI,0.5311588218445138,0.5704953980794105,0.5311557265185023
baseline,TARNOBRZESKI,0.5331390011163748,0.5063530556160405,0.5331444228448383
baseline,TARNOGÓRSKI,0.6318839745058931,0.41001785331493146,0.6322796258892609
