From_District,To_District,Proportion
KOŚCIERSKI,KOŚCIERSKI,0.9619883237597884
KOŹMIŃSKI,GOSTYŃSKI,0.15765397678902374
KOŹMIŃSKI,RAWICKI,0.0
KOŹMIŃSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0
KOŹMIŃSKI,KROTOSZYŃSKI,0.8423460232109763
KRAKOWSKI,NOWOSĄDECKI,0.0
KRAKOWSKI,TARNOWSKI,0.0
KRAKOWSKI,KRAKOWSKI,1.0
KRAKÓW (MIASTO),KRAKÓW (MIASTO),1.0
KRASNOSTAWSKI,KRASNOSTAWSKI,1.0
KROTOSZYŃSKI,GOSTYŃSKI,0.0
KROTOSZYŃSKI,RAWICKI,0.0
KROTOSZYŃSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0
KROTOSZYŃSKI,KROTOSZYŃSKI,1.0
KROŚNIEŃSKI,KROŚNIEŃSKI,1.0
KRZEMIENIECKI,ŁUCKI,0.0
KRZEMIENIECKI,DUBIEŃSKI,4.053495199614733e-10
KRZEMIENIECKI,KRZEMIENIECKI,0.9999999995946505
KRÓLEWSKA HUTA,CHORZÓW,1.0
KUTNOWSKI,KUTNOWSKI,1.0
KĘPIŃSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0
KĘPIŃSKI,KROTOSZYŃSKI,0.0
KĘPIŃSKI,KĘPIŃSKI,1.0
LESKI,LESKI,1.0
LESZCZYŃSKI,ŚREMSKI,0.0
LESZCZYŃSKI,KOŚCIAŃSKI,0.0
LESZCZYŃSKI,LESZCZYŃSKI,1.0
LIDZKI,WILEŃSKO-TROCKI,0.0862028730566994
LIDZKI,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.35660678780565525
LIDZKI,LIDZKI,0.5571903391376454
LIMANOWSKI,LIMANOWSKI,1.0
LIPNOWSKI,SIERPECKI,6.501432443760103e-12
LIPNOWSKI,LIPNOWSKI,0.9999999999934985
LUBACZOWSKI,JAROSŁAWSKI,0.0
LUBACZOWSKI,LUBACZOWSKI,0.9999383656670607
LUBACZOWSKI,JAWOROWSKI,6.163433293919653e-05
LUBARTOWSKI,LUBARTOWSKI,1.0
LUBAWSKI,BRODNICKI,0.0
LUBAWSKI,LUBAWSKI,1.0
LUBELSKI,LUBLIN (MIASTO),0.015630000276076892
LUBELSKI,LUBELSKI,0.9843699997239231
LUBLINIECKI,LUBLINIECKI,1.0
LUBOMELSKI,LUBOMELSKI,1.0
LWOWSKI,LWÓW (MIASTO),0.0
LWOWSKI,LWOWSKI,1.0
LWÓW (MIASTO),LWÓW (MIASTO),1.0
M. ST. WARSZAWA,ŚRÓDMIEJSKO-WARSZAWSKI,0.08147532959614465
M. ST. WARSZAWA,POŁUDNIOWO-WARSZAWSKI,0.2985065722489505
M. ST. WARSZAWA,PÓŁNOCNO-WARSZAWSKI,0.28820997684568855
M. ST. WARSZAWA,PRASKO-WARSZAWSKI,0.3318081213092163
MAKOWSKI (MAKÓW MAZOWIECKI),MAKOWSKI (MAKÓW MAZOWIECKI),1.0
MAKOWSKI (MAKÓW PODHALAŃSKI),NOWOTARSKI,0.033068237304429954
MAKOWSKI (MAKÓW PODHALAŃSKI),WADOWICKI,0.348773519023807
MAKOWSKI (MAKÓW PODHALAŃSKI),ŻYWIECKI,0.2159406889214293
MAKOWSKI (MAKÓW PODHALAŃSKI),MYŚLENICKI,0.4022175547503338
MIECHOWSKI,JĘDRZEJOWSKI,0.0003915583556075821
MIECHOWSKI,MIECHOWSKI,0.9996084416443923
MIELECKI,KOLBUSZOWSKI,0.0
MIELECKI,MIELECKI,1.0
MIĘDZYCHODZKI,MIĘDZYCHODZKI,1.0
MIŃSKI,MIŃSKI,1.0
MOGILEŃSKI,GNIEZNO (MIASTO),0.0
MOGILEŃSKI,WĄGROWIECKI,0.0
MOGILEŃSKI,KALISKI,0.0
MOGILEŃSKI,MOGILEŃSKI,1.0
MOGILEŃSKI,WRZESIŃSKI,0.0
MOGILEŃSKI,GNIEŹNIEŃSKI,0.0
MOGILEŃSKI,ŻNIŃSKI,0.0
MOŚCISKI,MOŚCISKI,1.0
MYŚLENICKI,MYŚLENICKI,1.0
MŁAWSKI,MŁAWSKI,1.0
NADWÓRNIAŃSKI,KOŁOMYJSKI,0.010216647841882216
NADWÓRNIAŃSKI,NADWÓRNIAŃSKI,0.9897833521581179
NIESZAWSKI,NIESZAWSKI,1.0
NIEŚWIESKI,MOŁODECZAŃSKI,0.0
NIEŚWIESKI,NOWOGRÓDZKI,0.0003117936672580147
NIEŚWIESKI,STOŁPECKI,0.20043348760876722
NIEŚWIESKI,WILEŃSKO-TROCKI,0.0
NIEŚWIESKI,NIEŚWIESKI,0.7992547187239747
NIŻAŃSKI,NIŻAŃSKI,1.0
NOWOGRÓDZKI,MOŁODECZAŃSKI,0.1772359903268021
NOWOGRÓDZKI,NOWOGRÓDZKI,0.04230847026469863
NOWOGRÓDZKI,STOŁPECKI,0.7804555394084993
NOWOSĄDECKI,GORLICKI,0.0
NOWOSĄDECKI,NOWOSĄDECKI,1.0
NOWOTARSKI,NOWOTARSKI,0.9999231823450713
NOWOTARSKI,WADOWICKI,0.0
NOWOTARSKI,ŻYWIECKI,0.0
NOWOTARSKI,MYŚLENICKI,7.681765492870236e-05
NOWOTOMYSKI,GNIEZNO (MIASTO),0.0
NOWOTOMYSKI,WĄGROWIECKI,0.0
NOWOTOMYSKI,KALISKI,0.0
NOWOTOMYSKI,MOGILEŃSKI,0.0
NOWOTOMYSKI,WRZESIŃSKI,0.0
NOWOTOMYSKI,GNIEŹNIEŃSKI,0.0
NOWOTOMYSKI,OBORNICKI,0.0
NOWOTOMYSKI,ŚREMSKI,0.0
NOWOTOMYSKI,POZNAŃSKI,0.0
NOWOTOMYSKI,NOWOTOMYSKI,1.0
OBORNICKI,CZARNKOWSKI,3.2115708139771045e-17
OBORNICKI,GNIEZNO (MIASTO),0.0
OBORNICKI,WĄGROWIECKI,0.0002015540690702295
OBORNICKI,KALISKI,0.0
OBORNICKI,MOGILEŃSKI,0.0
OBORNICKI,WRZESIŃSKI,0.0
OBORNICKI,GNIEŹNIEŃSKI,0.004801592507460982
OBORNICKI,OBORNICKI,0.9949968534234688
ODOLANOWSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.935261780777331
ODOLANOWSKI,KROTOSZYŃSKI,0.06473821922266905
ODOLANOWSKI,KĘPIŃSKI,0.0
OLKUSKI,OLKUSKI,1.0
OPATOWSKI,OPATOWSKI,1.0
OPOCZYŃSKI,KONECKI,0.004616267549974778
OPOCZYŃSKI,OPOCZYŃSKI,0.9953837324500252
OSTROGSKI,RÓWIEŃSKI,0.011038945249576614
OSTROGSKI,ZDOŁBUNOWSKI,0.9889610547504234
OSTROWSKI (OSTRÓW MAZOWIECKA),OSTROWSKI (OSTRÓW MAZOWIECKA),1.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),OSTROWSKI (OSTRÓW WIELKOPOLSKI),1.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),KROTOSZYŃSKI,0.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),KĘPIŃSKI,0.0
OSTROŁĘCKI,OSTROŁĘCKI,1.0
OSTRZESZOWSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),1.098198384385213e-16
OSTRZESZOWSKI,KROTOSZYŃSKI,0.0
OSTRZESZOWSKI,KĘPIŃSKI,0.9999999999999999
OSZMIAŃSKI,MOŁODECZAŃSKI,0.08989576950109535
