District,year,scenario,ma_total,ma_total_no_self,ma_domestic,ma_domestic_no_self,ma_domestic_inter,ma_domestic_self,ma_foreign
RADZIECHOWSKI,1924,baseline,1050738596.6201795,1050650172.0672641,100929.15243952927,12504.599523985764,12504.599523985764,88424.5529155435,1050637667.46774
RADZYMIŃSKI,1924,baseline,1194543736.9638526,1194356770.263923,434047.88499178883,247081.18506208318,247081.18506208318,186966.69992970565,1194109689.0788608
RADZYŃSKI,1924,baseline,1145722318.1410885,1145619703.2899175,132353.0153529534,29738.164181859287,29738.164181859287,102614.85117109412,1145589965.1257355
RAWICKI,1924,baseline,1421839576.6928623,1421447493.7080946,434834.7507085841,42751.76594101511,42751.76594101511,392082.984767569,1421404741.9421537
RAWSKI (RAWA MAZOWIECKA),1924,baseline,1236764385.8177226,1236644122.5143723,169219.82170804523,48956.51835772818,48956.51835772818,120263.30335031704,1236595165.9960146
RAWSKI (RAWA RUSKA),1924,baseline,1096169442.0295846,1096079917.423397,113327.07685976008,23802.47067205259,23802.47067205259,89524.6061877075,1096056114.952725
ROHATYŃSKI,1924,baseline,1088595723.5762,1088489506.7248127,130149.74996961355,23932.898582508406,23932.898582508406,106216.85138710514,1088465573.8262303
ROPCZYCKI,1924,baseline,1184642078.6430497,1184510304.4449542,169360.93624626478,37586.738150642035,37586.738150642035,131774.19809562273,1184472717.7068036
RUDECKI,1924,baseline,1108974397.5245895,1108808739.581248,205217.3237800333,39559.3804386404,39559.3804386404,165657.9433413929,1108769180.2008095
RYBNICKI,1924,baseline,1251800311.3446085,1251255750.1665673,616064.552885638,71503.37484430964,71503.37484430964,544561.1780413283,1251184246.791723
RYPIŃSKI,1924,baseline,1073077290.2414939,1072903557.6035976,189548.44942977317,15815.811533408136,15815.811533408136,173732.63789636505,1072887741.7920642
RZESZOWSKI,1924,baseline,1157141562.5629034,1156907339.8363242,259259.65774866822,25036.931169583844,25036.931169583844,234222.72657908438,1156882302.9051547
RÓWIEŃSKI,1924,baseline,1008246976.8615578,1008158686.2887868,98872.60217531447,10582.029404327019,10582.029404327019,88290.57277098745,1008148104.2593825
SAMBORSKI,1924,baseline,1127532024.7202463,1127376510.2899718,206453.7477946384,50939.31752004617,50939.31752004617,155514.43027459222,1127325570.9724517
SANDOMIERSKI,1924,baseline,1161982644.430282,1161823906.4137285,169327.17610885412,10589.159555124581,10589.159555124581,158738.01655372954,1161813317.2541733
SANOCKI,1924,baseline,1097350851.9124737,1097199265.5275438,165584.28397461874,13997.899044869151,13997.899044869151,151586.3849297496,1097185267.628499
SARNEŃSKI,1924,baseline,994582823.3455747,994563757.6942011,26470.764846867958,7405.113473254477,7405.113473254477,19065.65137361348,994556352.5807278
SIEDLECKI,1924,baseline,1163202017.619315,1163083161.583356,162731.90115372612,43875.86519475488,43875.86519475488,118856.03595897125,1163039285.718161
SIERADZKI,1924,baseline,1320261542.8282812,1320074100.6357517,249596.73452238576,62154.5419929009,62154.5419929009,187442.19252948486,1320011946.0937588
SIERPECKI,1924,baseline,1093747051.5734441,1093581551.650295,185542.85945379018,20042.936304621504,20042.936304621504,165499.92314916867,1093561508.7139904
SKAŁACKI,1924,baseline,1027224439.3599142,1027098628.980556,135777.04494916656,9966.6655910317,9966.6655910317,125810.37935813487,1027088662.314965
SKIERNIEWICKI,1924,baseline,1276901296.4625332,1276677181.0116158,342936.4543819677,118821.00346457037,118821.00346457037,224115.45091739736,1276558360.0081513
SOCHACZEWSKI,1924,baseline,1244151341.2712197,1243971719.4214954,266304.8230757376,86682.97335156512,86682.97335156512,179621.84972417247,1243885036.448144
SOKALSKI,1924,baseline,1076502707.4416203,1076371130.8598638,148299.25807148966,16722.67631492316,16722.67631492316,131576.5817565665,1076354408.183549
SOKOŁOWSKI,1924,baseline,1144716917.8630238,1144630711.728186,129322.70964387758,43116.57480603117,43116.57480603117,86206.1348378464,1144587595.15338
SOKÓLSKI,1924,baseline,1071101536.2496088,1071058774.6956335,66135.62811487282,23374.074139651042,23374.074139651042,42761.553975221774,1071035400.6214939
STANISŁAWOWSKI,1924,baseline,1106152614.806056,1105950050.2452137,230089.47812462936,27524.917282337865,27524.917282337865,202564.56084229148,1105922525.3279314
STAROGARDZKI,1924,baseline,1207240058.3288844,1207014893.6971817,241374.3050822979,16209.673379631387,16209.673379631387,225164.63170266652,1206998684.023802
STOLIŃSKI,1924,baseline,967587891.738354,967575844.7324172,18236.502023825815,6189.496087075158,6189.496087075158,12047.005936750656,967569655.2363302
STOPNICKI,1924,baseline,1152630318.510419,1152540402.8155012,100134.39434346097,10218.699425712482,10218.699425712482,89915.6949177485,1152530184.1160755
