District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe
MŁAWSKI,22855.0,441144.0,23646.0,42041.0,1952457.0,34547.0
NIESZAWSKI,179090.0,522521.0,168511.0,42596.0,1360401.0,605239.0
PŁOCKI,114371.0,511716.0,111602.0,91081.0,1846175.0,522809.0
PŁOŃSKI,73843.0,419563.0,56809.0,66984.0,1222518.0,189514.0
PRZASNYCKI,71742.0,256865.0,22289.0,29902.0,837825.0,64292.0
PUŁTUSKI,69450.0,428572.0,36375.0,91390.0,1424150.0,34977.0
RADZYMIŃSKI,18338.0,214722.0,13138.0,51080.0,788837.0,0.0
RAWSKI (RAWA MAZOWIECKA),40506.0,425449.0,36640.0,80680.0,2162040.0,2017.0
RYPIŃSKI,58658.0,383035.0,102553.0,53586.0,1410655.0,184160.0
SIERPECKI,30698.0,395401.0,30085.0,54752.0,1861635.0,38296.0
SKIERNIEWICKI,33471.0,330957.0,24833.0,118190.0,1282830.0,11720.0
SOCHACZEWSKI,55120.0,250506.0,24248.0,80961.0,967076.0,158314.0
WARSZAWSKI,41454.0,241768.0,23925.0,108142.0,1247295.0,45690.0
WŁOCŁAWSKI,112606.0,398696.0,125482.0,54277.0,1037279.0,522394.0
DUBIEŃSKI,463869.0,511321.0,290674.0,364835.0,2064585.0,84270.0
HOROCHOWSKI,392198.0,292313.0,188316.0,184727.0,1475284.0,8238.0
KOWELSKI,201698.0,587997.0,96579.0,111085.0,2309145.0,1579.0
KRZEMIENIECKI,186919.0,530942.0,264826.0,431423.0,1744040.0,0.0
LUBOMELSKI,38712.0,223021.0,38983.0,34498.0,642727.0,0.0
ŁUCKI,425467.0,509749.0,226221.0,286587.0,2469912.0,27014.0
RÓWIEŃSKI,319990.0,400583.0,237859.0,387234.0,2208462.0,672524.0
WŁODZIMIERSKI,371210.0,364225.0,143057.0,221285.0,1545400.0,91054.0
KOSTOPOLSKI,48036.0,319005.0,45527.0,154377.0,1677061.0,0.0
ZDOŁBUNOWSKI,150543.0,156954.0,130593.0,172284.0,988643.0,346218.0
SARNEŃSKI,14171.0,503036.0,61344.0,114892.0,1535675.0,0.0
OSZMIAŃSKI,6149.0,253016.0,83755.0,170245.0,968699.0,0.0
ŚWIĘCIAŃSKI,26057.0,251953.0,29806.0,108640.0,1136341.0,0.0
WILNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
DZIŚNIEŃSKI,36653.0,353187.0,67446.0,225500.0,1301137.0,0.0
WILEJSKI,6185.0,319672.0,70025.0,112097.0,1379490.0,0.0
WILEŃSKO-TROCKI,20181.0,451463.0,92264.0,211454.0,1788206.0,0.0
POSTAWSKI,23037.0,226865.0,29113.0,76267.0,860800.0,0.0
MOŁODECZAŃSKI,12732.0,188097.0,39489.0,118658.0,629948.0,0.0
