District,1. Number of workers in plants I-VII,2. Plants: total,3. Plants: I-III,4. Plants: IV-V,5. Plants: VI-VII,6. Plants: VIII,7. Mining: I-V,8. Mining: VI-VII,9. Mining: VIII,10. Mineral: I-V,11. Mineral: VI-VII,12. Mineral: VIII,13. Mineral: brickyards (within others),14. Mineral: concrete plants (within others),15. Metal and electrotechnical: I-V,16. Metal and electrotechnical: VI-VII,17. Metal and electrotechnical: VIII,18. Metal and electrotechnical: metal production (within others),19. Metal and electrotechnical: blacksmithing (within others),"20. Metal and electrotechnical: locksmithing, repairs (within others)",21. Metal and electrotechnical: tinsmithing (within others),22. Metal and electrotechnical: watchmaking and jewelry (within others),23. Chemical: I-V,24. Chemical: VI-VII,25. Chemical: VIII,26. Chemical: oil mills (within others),27. Textile: I-V,28. Textile: VI-VII,29. Textile: VIII,30. Paper: I-V,31. Paper: VI-VII,32. Paper: VIII,33. Leather: I-V,34. Leather: VI-VII,35. Leather: VIII,36. Leather: tanning and white leather (within others),37. Leather: saddlery and harness making (within others),38. Wood: I-V,39. Wood: VI-VII,40. Wood: VIII,41. Wood: sawmills (within others),42. Wood: carpentry (within others),43. Wood: wheelwrighting (within others),44. Food: I-V,45. Food: VI-VII,46. Food: VIII,47. Food: mills (within others),48. Food: bakeries (within others),49. Food: dairies (within others),50. Food: butchery and meat processing (within others),51. Clothing: I-V,52. Clothing: VI-VII,53. Clothing: VIII,54. Clothing: tailoring and clothing accessories (within others),55. Clothing: shoemaking and boot making (within others),56. Clothing: furriery (within others),57. Printing: I-V,58. Printing: VI-VII,59. Printing: VIII,60. Printing: printing houses (within others),61. Construction: I-V,62. Construction: VI-VII,63. Construction: VIII,64. Processing of various materials: VII,65. Processing of various materials: VIII,66. Power plants: I-V,67. Power plants: VI-VII,68. Power plants: VIII,69. Services: V-VII,70. Services: VIII,71. Services: hairdressing (within others),72. Services: transport (within others),73. Horticulture and fisheries: V-VII,74. Horticulture and fisheries: VIII,75. Other plants: VIII
RUDECKI,100.0,297.0,0.0,3.0,17.0,277.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,3.0,0.0,0.0,21.0,0.0,11.0,2.0,4.0,4.0,0.0,0.0,11.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,19.0,0.0,12.0,2.0,2.0,10.0,160.0,1.0,18.0,133.0,4.0,0.0,0.0,34.0,23.0,10.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0
RZESZOWSKI,1095.0,597.0,0.0,14.0,82.0,501.0,0.0,0.0,2.0,3.0,7.0,35.0,3.0,27.0,1.0,6.0,49.0,3.0,11.0,16.0,7.0,9.0,0.0,1.0,8.0,0.0,1.0,0.0,5.0,0.0,2.0,7.0,0.0,1.0,11.0,2.0,3.0,1.0,15.0,38.0,8.0,20.0,0.0,8.0,40.0,161.0,4.0,41.0,63.0,26.0,0.0,3.0,93.0,45.0,18.0,7.0,0.0,2.0,14.0,3.0,0.0,5.0,15.0,0.0,11.0,0.0,0.0,0.0,0.0,49.0,34.0,10.0,0.0,0.0,3.0
SAMBORSKI,461.0,337.0,0.0,5.0,31.0,301.0,0.0,2.0,0.0,1.0,2.0,18.0,2.0,14.0,0.0,1.0,31.0,1.0,18.0,4.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,11.0,1.0,8.0,2.0,2.0,21.0,165.0,2.0,26.0,116.0,7.0,0.0,0.0,32.0,17.0,10.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,2.0,0.0,17.0,11.0,3.0,0.0,2.0,0.0
SANOCKI,1371.0,316.0,2.0,8.0,42.0,264.0,0.0,15.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,28.0,2.0,11.0,2.0,7.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,2.0,2.0,6.0,10.0,28.0,19.0,5.0,2.0,2.0,10.0,88.0,19.0,26.0,12.0,21.0,0.0,0.0,60.0,27.0,23.0,1.0,0.0,0.0,8.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,29.0,15.0,9.0,0.0,1.0,0.0
SOKALSKI,532.0,464.0,0.0,5.0,94.0,365.0,0.0,0.0,0.0,0.0,6.0,10.0,2.0,8.0,0.0,1.0,40.0,4.0,19.0,6.0,1.0,7.0,1.0,1.0,20.0,18.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,20.0,21.0,1.0,13.0,2.0,2.0,63.0,144.0,15.0,26.0,85.0,12.0,0.0,0.0,60.0,31.0,16.0,3.0,0.0,1.0,6.0,2.0,0.0,0.0,20.0,0.0,4.0,0.0,2.0,3.0,0.0,24.0,16.0,3.0,0.0,2.0,3.0
TARNOBRZESKI,380.0,362.0,0.0,7.0,23.0,332.0,0.0,0.0,0.0,2.0,2.0,18.0,2.0,11.0,0.0,0.0,51.0,1.0,29.0,5.0,7.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,2.0,6.0,40.0,1.0,32.0,1.0,3.0,13.0,80.0,4.0,28.0,10.0,31.0,0.0,1.0,80.0,46.0,22.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,29.0,11.0,16.0,0.0,2.0,2.0
ŻÓŁKIEWSKI,602.0,581.0,0.0,9.0,58.0,514.0,0.0,2.0,0.0,1.0,4.0,8.0,3.0,4.0,0.0,0.0,56.0,1.0,38.0,4.0,5.0,6.0,1.0,1.0,19.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,2.0,0.0,3.0,21.0,30.0,4.0,13.0,3.0,3.0,22.0,190.0,17.0,24.0,111.0,29.0,0.0,5.0,151.0,44.0,50.0,53.0,1.0,1.0,3.0,1.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,25.0,10.0,11.0,0.0,0.0,0.0
LUBACZOWSKI,372.0,434.0,0.0,5.0,54.0,375.0,0.0,0.0,0.0,0.0,2.0,21.0,1.0,14.0,0.0,0.0,30.0,1.0,16.0,1.0,7.0,5.0,0.0,1.0,14.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,3.0,23.0,44.0,3.0,20.0,8.0,2.0,28.0,109.0,21.0,32.0,22.0,24.0,0.0,0.0,88.0,52.0,27.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,1.0,0.0,18.0,13.0,2.0,0.0,0.0,2.0
TURCZAŃSKI,997.0,160.0,0.0,8.0,32.0,120.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,17.0,16.0,1.0,0.0,0.0,8.0,79.0,37.0,12.0,24.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0
BRZEZIŃSKI,9495.0,1159.0,7.0,29.0,104.0,1019.0,0.0,0.0,0.0,6.0,9.0,26.0,16.0,9.0,2.0,2.0,85.0,4.0,52.0,19.0,6.0,4.0,2.0,3.0,21.0,17.0,14.0,24.0,65.0,0.0,0.0,0.0,0.0,3.0,44.0,24.0,6.0,4.0,9.0,62.0,3.0,37.0,5.0,8.0,39.0,285.0,19.0,111.0,12.0,116.0,0.0,15.0,271.0,175.0,52.0,16.0,0.0,0.0,15.0,6.0,0.0,0.0,21.0,0.0,9.0,0.0,0.0,2.0,0.0,108.0,92.0,9.0,0.0,1.0,4.0
